"time","power","units","fan 0","fan 1","fan 2","fan 3","fan 4","temp 0","temp 1","temp 2","temp 3","temp 4","Unit 1 ethash H/s","Unit 1 sha256-ton H/s","Unit 2 ethash H/s","Unit 2 sha256-ton H/s","Unit 3 ethash H/s","Unit 3 sha256-ton H/s","Unit 4 ethash H/s","Unit 4 sha256-ton H/s","Unit 5 ethash H/s","Unit 5 sha256-ton H/s",
"18/03/2022 13:00:00",728,5,80,80,80,80,68,58,58,53,68,48,41470000,41540000,41540000,41580000,28620000,1070300000,1100200000,1100200000,1073700000,915940000,
"18/03/2022 13:05:00",732,5,80,80,80,80,68,58,58,54,69,48,41480000,41540000,41520000,41580000,28620000,1070400000,1100100000,1099600000,1073700000,915940000,
"18/03/2022 13:10:00",783,5,80,80,80,80,68,59,58,54,69,48,41470000,41540000,41520000,41580000,28620000,1070200000,1100200000,1099400000,1073700000,915940000,
"18/03/2022 13:15:00",773,5,80,80,80,80,68,59,58,54,69,48,41460000,41540000,41520000,41580000,28620000,1070100000,1100100000,1099700000,1073800000,915940000,
"18/03/2022 13:20:00",767,5,80,80,80,79,68,59,58,54,69,48,41470000,41540000,41540000,41580000,28620000,1070300000,1100100000,1100200000,1073600000,915940000,
"18/03/2022 13:25:00",763,5,80,80,80,79,68,59,58,54,69,48,41470000,41540000,41540000,41590000,28620000,1070200000,1100200000,1100100000,1073800000,915940000,
"18/03/2022 13:30:00",785,5,80,80,80,79,68,59,59,54,70,48,41480000,41540000,41540000,41580000,28630000,1070500000,1100200000,1100000000,1073700000,916040000,
"18/03/2022 13:35:00",727,5,80,80,80,81,68,58,58,53,68,48,41470000,41540000,41530000,41580000,28630000,1070300000,1100100000,1099700000,1073700000,916040000,
"18/03/2022 13:40:00",780,5,80,80,80,80,68,59,59,54,69,49,41470000,41540000,41530000,41580000,28760000,1070400000,1100100000,1099900000,1073800000,920440000,
"18/03/2022 13:45:00",762,5,80,80,80,80,68,59,59,54,68,48,41470000,41550000,41530000,41580000,28630000,1070300000,1100300000,1099800000,1073800000,916040000,
"18/03/2022 13:50:00",776,5,80,80,80,80,68,59,59,54,70,49,41480000,41540000,41530000,41570000,28630000,1070400000,1100000000,1100100000,1073500000,916040000,
"18/03/2022 13:55:00",772,5,80,80,80,80,68,59,59,54,70,48,41460000,41540000,41010000,41590000,28630000,1070100000,1100200000,1098200000,1073900000,916040000,
"18/03/2022 14:00:00",728,5,80,80,80,80,68,59,58,53,68,48,41460000,41540000,41530000,41580000,28630000,1070100000,1100000000,1099900000,1073700000,916040000,
"18/03/2022 14:05:00",741,5,80,80,80,80,68,59,58,54,69,48,41470000,41530000,40990000,41580000,28620000,1070200000,1099900000,1097800000,1073600000,915940000,
"18/03/2022 14:10:00",773,5,80,80,80,80,68,59,59,54,69,48,41470000,41540000,41530000,41580000,28630000,1070200000,1100200000,1099800000,1073800000,916040000,
"18/03/2022 14:15:00",728,5,80,80,80,80,68,58,58,53,68,48,41460000,41540000,41520000,41580000,28630000,1070100000,1100200000,1099600000,1073800000,916040000,
"18/03/2022 14:20:00",728,5,80,80,80,80,68,59,58,53,68,48,41470000,41550000,41510000,41590000,28620000,1070300000,1100400000,1099300000,1074000000,915940000,
"18/03/2022 14:25:00",739,5,80,80,80,80,68,59,59,53,69,48,41460000,41540000,41530000,41580000,28620000,1070100000,1100100000,1099900000,1073800000,915940000,
"18/03/2022 14:30:00",728,5,80,80,80,81,68,59,58,53,68,48,41470000,41540000,41520000,41580000,28620000,1070400000,1100000000,1099800000,1073800000,915940000,
"18/03/2022 14:35:00",781,5,80,80,80,80,68,60,59,54,69,49,41480000,41540000,41540000,41590000,28620000,1070500000,1100100000,1100100000,1073900000,915940000,
"18/03/2022 14:40:00",735,5,80,80,80,80,68,59,58,54,69,48,41470000,41540000,41530000,41590000,28620000,1070200000,1100200000,1099700000,1073800000,915940000,
"18/03/2022 14:45:00",728,5,80,80,80,80,68,59,58,53,68,49,41460000,41540000,41530000,41580000,28620000,1070100000,1100200000,1100000000,1073800000,915940000,
"18/03/2022 14:50:00",784,5,80,80,80,80,68,59,58,54,70,49,41470000,41540000,41530000,41590000,28610000,1070400000,1100200000,1099700000,1073900000,915670000,
"18/03/2022 14:55:00",728,5,80,80,80,80,68,59,58,54,68,48,41470000,41540000,41520000,41580000,28620000,1070200000,1100200000,1099700000,1073600000,915940000,
"18/03/2022 15:00:00",729,5,80,80,80,80,68,59,58,54,68,48,41460000,41550000,41540000,41580000,28620000,1070200000,1100300000,1100000000,1073600000,915940000,
"18/03/2022 15:05:00",727,5,80,80,80,80,68,59,58,54,68,48,41480000,41540000,41530000,41580000,28620000,1070500000,1100100000,1100000000,1073700000,915940000,
"18/03/2022 15:10:00",728,5,80,80,80,80,68,59,58,54,69,49,41460000,41540000,41510000,41590000,28630000,1070100000,1100200000,1099500000,1073900000,916040000,
"18/03/2022 15:15:00",739,5,80,80,80,80,68,58,58,54,69,48,41460000,41550000,41520000,41580000,28620000,1070000000,1100300000,1099800000,1073800000,915940000,
"18/03/2022 15:20:00",785,5,80,80,80,80,68,60,59,54,70,48,41470000,41540000,41530000,41570000,28760000,1070200000,1100000000,1099700000,1073600000,920350000,
"18/03/2022 15:25:00",783,5,80,80,80,80,68,60,59,55,70,49,41470000,41540000,41530000,41580000,28760000,1070200000,1100000000,1099800000,1073700000,920350000,
"18/03/2022 15:30:00",729,5,80,80,80,80,68,59,59,54,69,48,41470000,41540000,41520000,41580000,28620000,1070300000,1100100000,1099800000,1073800000,915940000,
"18/03/2022 15:35:00",727,5,80,80,80,80,68,59,58,54,68,48,41460000,41540000,41520000,41590000,28620000,1070000000,1100100000,1099400000,1073900000,915940000,
"18/03/2022 15:40:00",729,5,80,80,80,80,68,59,58,54,69,48,41460000,41540000,41550000,41590000,28620000,1070000000,1100200000,1100400000,1073900000,915940000,
"18/03/2022 15:45:00",746,5,80,80,80,80,68,59,58,54,69,49,41460000,41550000,41520000,41580000,28620000,1070100000,1100200000,1099800000,1073700000,915940000,
"18/03/2022 15:50:00",742,5,80,80,80,80,68,59,58,54,69,49,41470000,41540000,41520000,41580000,28620000,1070300000,1100200000,1099800000,1073700000,915940000,
"18/03/2022 15:55:00",785,5,80,80,80,80,68,59,59,54,70,48,41480000,41540000,41530000,41580000,28620000,1070500000,1100200000,1099800000,1073700000,915940000,
"18/03/2022 16:05:55","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 16:10:55","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 16:15:55","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 16:20:55","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 16:25:55","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 16:30:55","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 16:35:55","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 16:40:55","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 16:45:55","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 16:50:55","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 16:55:55","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 17:00:55","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 17:05:55","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 17:10:55","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 17:15:55","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 17:20:55","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 17:25:55","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 17:30:55","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18/03/2022 17:35:55","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
