"time","power","units","fan 0","fan 1","fan 2","temp 0","temp 1","temp 2","Unit 1 ethash H/s","Unit 2 ethash H/s","Unit 3 ethash H/s",
"20/03/2022 13:00:00",300,3,60,50,47,51,51,64,21242498,28349937,27231399,
"20/03/2022 13:05:00",300,3,60,48,47,51,51,64,21267931,28279839,27222496,
"20/03/2022 13:10:00",301,3,60,50,47,51,51,64,21238853,28353983,27211965,
"20/03/2022 13:15:00",300,3,60,50,47,51,51,64,21240642,28349960,27221686,
"20/03/2022 13:20:00",300,3,60,50,47,51,51,64,21261244,28351589,27229779,
"20/03/2022 13:25:00",298,3,60,50,47,51,52,64,21245624,28341107,27191785,
"20/03/2022 13:30:00",304,3,60,50,47,51,52,64,21241250,28342689,27232209,
"20/03/2022 13:35:00",299,3,60,50,47,51,52,64,21219544,28376639,27232210,
"20/03/2022 13:40:00",298,3,60,50,47,51,52,64,21261862,28357254,27224110,
"20/03/2022 13:45:00",302,3,60,50,47,51,52,64,21246111,28345964,27220070,
"20/03/2022 13:50:00",300,3,60,50,47,51,52,64,21260699,28375827,27227346,
"20/03/2022 13:55:00",116,3,60,51,47,49,50,57,21244884,28358838,27216830,
"20/03/2022 14:00:00",305,3,60,50,47,51,52,64,21246714,28358828,27228973,
"20/03/2022 14:05:00",300,3,60,50,47,51,52,64,21240684,28312068,27216820,
"20/03/2022 14:10:00",300,3,60,50,47,51,52,64,21218408,28375019,27233829,
"20/03/2022 14:15:00",299,3,60,50,47,51,52,64,21243098,28366111,27228974,
"20/03/2022 14:20:00",302,3,60,50,47,51,52,64,21260095,28329746,27238692,
"20/03/2022 14:25:00",297,3,60,50,47,51,52,64,21240066,28366130,27219256,
"20/03/2022 14:30:00",303,3,60,50,47,51,52,64,21243082,28332309,27207951,
"20/03/2022 14:35:00",299,3,60,50,47,51,52,64,21252156,28353984,27225726,
"20/03/2022 14:40:00",302,3,60,50,47,51,52,64,21251633,28336997,27223296,
"20/03/2022 14:45:00",297,3,60,50,47,51,52,64,21233414,28333008,27213615,
"20/03/2022 14:50:00",299,3,60,50,47,51,51,64,21248550,28357219,27224110,
"20/03/2022 14:55:00",299,3,60,50,47,51,52,64,21252161,28367736,27229777,
"20/03/2022 15:00:00",300,3,60,50,47,51,52,64,21231591,28367736,27216024,
"20/03/2022 15:05:00",303,3,60,50,47,51,52,64,21250939,28363688,27224115,
"20/03/2022 15:10:00",299,3,60,50,47,51,52,64,21242457,28350744,27233830,
"20/03/2022 15:15:00",304,3,60,50,47,51,52,64,21240666,28359634,27231398,
"20/03/2022 15:20:00",300,3,60,50,47,51,52,64,21233445,28354790,27218452,
"20/03/2022 15:25:00",302,3,60,50,47,51,52,64,21258266,28366920,27217634,
"20/03/2022 15:30:00",299,3,60,50,47,51,51,64,21246710,28366108,27234638,
"20/03/2022 15:35:00",302,3,60,50,47,51,52,64,21241289,28295074,27220877,
"20/03/2022 15:40:00",302,3,60,50,47,51,52,64,21249761,28310446,27224114,
"20/03/2022 15:45:00",300,3,60,50,47,51,51,64,21243076,28345958,27206329,
"20/03/2022 15:50:00",300,3,60,50,47,51,51,64,21253995,28349129,27210356,
"20/03/2022 15:55:00",302,3,60,50,47,51,52,64,21263135,28373398,27233830,
"20/03/2022 16:00:00",298,3,60,50,47,51,52,64,21243677,28375019,27227354,
"20/03/2022 16:05:00",298,3,60,50,47,51,52,64,21243677,28383123,27227352,
"20/03/2022 16:10:00",298,3,60,50,47,51,52,64,21253990,28360463,27220070,
"20/03/2022 16:15:00",298,3,60,49,47,51,52,64,21241286,28372595,27224109,
"20/03/2022 16:20:00",299,3,60,50,47,51,52,64,21228649,28288816,27210352,
"20/03/2022 16:25:00",298,3,60,50,47,51,52,64,21253356,28372622,27233021,
"20/03/2022 16:30:00",298,3,60,50,47,51,52,64,21257047,28362074,27231407,
"20/03/2022 16:35:00",300,3,60,49,47,51,52,64,21261257,28357216,27209548,
"20/03/2022 16:40:00",299,3,60,50,47,51,52,64,21258240,28354794,27227351,
