"time","power","units","fan 0","fan 1","fan 2","fan 3","fan 4","fan 5","fan 6","fan 7","fan 8","fan 9","fan 10","temp 0","temp 1","temp 2","temp 3","temp 4","temp 5","temp 6","temp 7","temp 8","temp 9","temp 10","Unit 1 ethash H/s","Unit 2 ethash H/s","Unit 3 ethash H/s","Unit 4 ethash H/s","Unit 5 ethash H/s","Unit 6 ethash H/s","Unit 7 ethash H/s","Unit 8 ethash H/s","Unit 9 ethash H/s","Unit 10 ethash H/s","Unit 11 ethash H/s",
"20/03/2022 17:15:00",1034,11,46,52,60,50,80,61,50,60,60,80,40,58,54,54,47,58,48,53,62,55,58,52,23975022,30895367,32799588,24379395,23743976,25244505,25479152,29588440,43744186,25510089,31551214,
"20/03/2022 17:20:00",1036,11,46,52,60,50,80,60,50,60,60,80,40,59,55,54,47,59,49,53,62,55,59,52,23981825,30877076,32815765,24360088,23740433,25249787,25476897,29472971,43747999,25507829,31553887,
"20/03/2022 17:25:00",1035,11,46,52,60,50,80,60,50,60,60,80,39,59,55,55,47,58,49,53,61,55,58,52,23968900,30887145,32803388,24377327,23748938,25250542,25480660,29618718,43744187,25510848,31546768,
"20/03/2022 17:30:00",1035,11,47,53,60,50,80,60,50,60,60,80,40,59,55,56,48,59,49,53,62,55,59,52,23955754,30888966,32814811,24371801,23733348,25252053,25477644,29492216,43745457,25512356,31553887,
"20/03/2022 17:35:00",1037,11,48,53,60,50,80,60,50,60,60,80,40,60,55,56,48,60,50,54,62,56,59,52,23964524,30911855,32810046,24350453,23726971,25246768,25476137,29628095,43746728,25509334,31549432,
"20/03/2022 17:40:00",1037,11,48,53,60,50,80,60,50,60,60,80,40,60,55,57,48,60,50,54,62,56,59,53,23970937,30911860,32799578,24355263,23729091,25253562,25479151,29523922,43745457,25507067,31550323,
"20/03/2022 17:45:00",1042,11,48,54,60,50,80,60,50,60,60,80,41,61,56,57,48,60,50,54,62,56,59,53,23960746,30929274,32813858,24363541,23712111,25253562,25480659,29579233,43749268,25509334,31554778,
"20/03/2022 17:50:00",1040,11,49,54,60,50,80,60,50,60,60,80,41,61,56,57,49,61,50,55,62,56,60,53,23961124,30928360,32814813,24310604,23708574,25258096,25481412,29490434,43744187,25507069,31551214,
"20/03/2022 17:55:00",1037,11,49,54,60,50,80,60,50,60,60,80,41,61,56,57,49,61,51,55,63,56,60,53,23959524,30931112,32815765,24302355,23700102,25255073,25479905,29496436,43747998,25509334,31552997,
"20/03/2022 18:00:00",1039,11,49,54,60,50,80,60,50,60,60,80,41,61,56,58,49,61,50,55,63,56,60,53,23966180,30920102,32810999,24280443,23700091,25254319,25474632,29525582,43746727,25504808,31555670,
"20/03/2022 18:05:00",1035,11,49,54,60,50,80,60,50,60,60,80,42,60,56,57,50,61,51,55,63,57,60,53,23960109,30918273,32810998,24274286,23700099,25251297,25480658,29487281,43746727,25507068,31550326,
"20/03/2022 18:10:00",1037,11,49,54,60,50,80,60,50,60,60,80,42,61,56,58,49,61,51,55,63,57,60,53,23959187,30928357,32813858,24297558,23681770,25253562,25480659,29517405,43744188,25509334,31554778,
"20/03/2022 18:15:00",1035,11,49,54,60,50,80,60,50,60,60,80,42,61,56,58,50,62,51,55,63,57,61,54,23955896,30926525,32810045,24290751,23693738,25249032,25486690,29356108,43749270,25507824,31552997,
"20/03/2022 18:20:00",1034,11,49,55,60,50,80,60,50,60,60,80,42,61,56,58,50,61,51,55,64,58,61,54,23964138,30921967,32810046,24273609,23677517,25254318,25476894,29324647,43736569,25507823,31555669,
"20/03/2022 18:25:00",1038,11,49,55,60,50,80,60,50,60,60,80,42,61,56,58,50,62,51,56,64,58,61,54,23964142,30929275,32808140,24273593,23687382,25248278,25374934,29244069,43740380,25507068,31551214,
"20/03/2022 18:30:00",1031,11,49,55,60,50,80,60,50,60,60,80,42,61,56,58,50,62,51,56,64,58,61,54,23964139,30914617,32810047,24268830,23681037,25245272,25339734,29355970,43746728,25508579,31554778,
"20/03/2022 18:35:00",1037,11,50,55,60,50,80,60,50,60,60,80,42,61,56,58,50,63,51,56,64,58,61,54,23957226,30921941,32816718,24255165,23663439,25254318,25347190,29304839,43747998,25510094,31552996,
"20/03/2022 18:40:00",1038,11,49,55,60,50,80,60,50,60,60,80,42,61,56,58,50,62,51,56,64,58,61,54,23958729,30939375,32811000,24276333,23682445,25252052,25346444,29364340,43747999,25510845,31556563,
"20/03/2022 18:45:00",1040,11,49,54,60,50,80,60,50,60,60,80,42,61,56,58,50,62,51,56,64,58,61,54,23962404,30933866,32810046,24267431,23678921,25252809,25343463,29433090,43745457,25511603,31549432,
"20/03/2022 18:50:00",1044,11,49,55,60,50,80,60,50,60,60,80,42,61,56,58,50,63,51,56,64,58,61,54,23968899,30913797,32814811,24271551,23681033,25249789,25342719,29436361,43747999,25510090,31554778,
