"time","power","units","fan 0","fan 1","fan 2","fan 3","fan 4","temp 0","temp 1","temp 2","temp 3","temp 4","Unit 1 ethash H/s","Unit 2 ethash H/s","Unit 3 ethash H/s","Unit 4 ethash H/s","Unit 5 ethash H/s",
"18/03/2022 13:00:00",350,5,47,80,48,48,48,42,50,42,49,46,27890000,30760000,28980000,28930000,28980000,
"18/03/2022 13:05:00",348,5,47,80,48,48,48,42,50,42,49,47,27890000,30750000,28980000,28930000,28980000,
"18/03/2022 13:10:00",349,5,47,80,48,48,48,42,50,42,48,47,27900000,30760000,28980000,28940000,28990000,
"18/03/2022 13:15:00",349,5,47,80,48,48,48,42,50,42,49,46,27890000,30760000,28990000,28940000,28990000,
"18/03/2022 13:20:00",349,5,47,80,48,48,48,42,50,41,48,47,27900000,30760000,28990000,28930000,28980000,
"18/03/2022 13:25:00",349,5,47,80,48,48,48,42,50,42,48,47,27890000,30750000,28980000,28930000,28980000,
"18/03/2022 13:30:00",349,5,47,80,48,48,48,42,50,42,49,46,27890000,30750000,28980000,28930000,28980000,
"18/03/2022 13:35:00",348,5,47,80,48,48,48,42,50,42,49,46,27890000,30760000,28980000,28930000,28980000,
"18/03/2022 13:40:00",350,5,47,80,48,48,48,41,50,42,48,46,27890000,30760000,28980000,28930000,28980000,
"18/03/2022 13:45:00",349,5,47,80,48,48,48,42,50,42,48,46,27890000,30760000,28990000,28930000,28980000,
"18/03/2022 13:50:00",349,5,47,80,48,48,48,41,50,42,49,47,27890000,30750000,28980000,28930000,28980000,
"18/03/2022 13:55:00",350,5,47,80,48,48,48,42,50,42,49,46,27890000,30760000,28980000,28940000,28980000,
"18/03/2022 14:00:00",349,5,47,80,48,48,48,42,50,42,48,47,27890000,30750000,28980000,28930000,28980000,
"18/03/2022 14:05:00",349,5,47,80,48,48,48,42,50,42,49,47,27900000,30760000,28990000,28940000,28990000,
"18/03/2022 14:10:00",350,5,47,80,48,48,48,42,50,42,49,46,27890000,30760000,28980000,28930000,28980000,
"18/03/2022 14:15:00",349,5,47,80,48,48,48,42,50,42,48,46,27900000,30760000,28980000,28930000,28980000,
"18/03/2022 14:20:00",349,5,47,80,48,48,48,42,50,42,49,46,27900000,30760000,28980000,28940000,28990000,
"18/03/2022 14:25:00",349,5,47,80,48,48,48,42,50,42,48,46,27890000,30760000,28980000,28930000,28990000,
"18/03/2022 14:30:00",349,5,47,80,48,48,48,42,50,42,49,46,27890000,30750000,28980000,28930000,28980000,
"18/03/2022 14:35:00",347,5,47,80,48,48,48,42,50,42,48,46,27890000,30760000,28980000,28930000,28980000,
"18/03/2022 14:40:00",349,5,47,80,48,48,48,42,50,42,48,46,27890000,30750000,28980000,28930000,28980000,
"18/03/2022 14:45:00",350,5,47,80,48,48,48,42,50,42,48,46,27890000,30760000,28990000,28930000,28980000,
"18/03/2022 14:50:00",349,5,47,80,48,48,48,42,50,41,49,46,27890000,30760000,28980000,28930000,28980000,
"18/03/2022 14:55:00",349,5,47,80,48,48,48,42,50,42,49,47,27890000,30750000,28980000,28930000,28980000,
"18/03/2022 15:00:00",349,5,47,80,48,48,48,42,50,42,48,47,27890000,30750000,28980000,28930000,28980000,
"18/03/2022 15:05:00",349,5,47,80,48,48,48,42,50,42,49,47,27900000,30760000,28990000,28940000,28990000,
"18/03/2022 15:10:00",349,5,47,80,48,48,48,42,50,42,48,46,27900000,30760000,28990000,28940000,28990000,
"18/03/2022 15:15:00",349,5,47,80,48,48,48,42,50,42,49,46,27890000,30760000,28980000,28930000,28980000,
"18/03/2022 15:20:00",349,5,47,80,48,48,48,42,50,42,49,46,27890000,30760000,28980000,28940000,28980000,
"18/03/2022 15:25:00",349,5,47,80,48,48,48,42,50,42,49,47,27900000,30760000,28990000,28940000,28990000,
"18/03/2022 15:30:00",349,5,47,80,48,48,48,42,50,42,49,47,27890000,30760000,28980000,28930000,28980000,
"18/03/2022 15:35:00",349,5,47,80,48,48,48,42,51,42,48,47,27900000,30760000,28990000,28940000,28990000,
"18/03/2022 15:40:00",349,5,47,80,48,48,48,42,50,42,48,46,27900000,30760000,28990000,28940000,28990000,
"18/03/2022 15:45:00",349,5,47,80,48,48,48,42,50,42,48,46,27890000,30760000,28980000,28940000,28990000,
"18/03/2022 15:50:00",349,5,47,80,48,48,48,42,50,42,48,47,27900000,30760000,28990000,28940000,28990000,
"18/03/2022 15:55:00",350,5,47,80,48,48,48,42,50,42,48,46,27900000,30760000,28990000,28940000,28990000,
"18/03/2022 16:00:00",350,5,47,80,48,48,48,42,51,42,48,47,27900000,30760000,28990000,28940000,28990000,
"18/03/2022 16:05:00",350,5,47,80,48,48,48,42,51,42,48,46,27900000,30760000,28990000,28940000,28990000,
"18/03/2022 16:10:00",341,5,47,80,48,48,48,42,51,42,48,46,27890000,30760000,28980000,28930000,28980000,
"18/03/2022 16:15:00",349,5,47,80,48,48,48,42,50,42,48,46,27900000,30760000,28990000,28940000,28990000,
